id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,satuan,tahun
1,32,JAWA BARAT,3201,BOGOR,LAKI-LAKI,0,ORANG,2018
2,32,JAWA BARAT,3201,BOGOR,PEREMPUAN,2,ORANG,2018
3,32,JAWA BARAT,3202,SUKABUMI,LAKI-LAKI,5,ORANG,2018
4,32,JAWA BARAT,3202,SUKABUMI,PEREMPUAN,29,ORANG,2018
5,32,JAWA BARAT,3203,CIANJUR,LAKI-LAKI,0,ORANG,2018
6,32,JAWA BARAT,3203,CIANJUR,PEREMPUAN,0,ORANG,2018
7,32,JAWA BARAT,3204,BANDUNG,LAKI-LAKI,11,ORANG,2018
8,32,JAWA BARAT,3204,BANDUNG,PEREMPUAN,45,ORANG,2018
9,32,JAWA BARAT,3205,GARUT,LAKI-LAKI,1,ORANG,2018
10,32,JAWA BARAT,3205,GARUT,PEREMPUAN,0,ORANG,2018
11,32,JAWA BARAT,3206,TASIKMALAYA,LAKI-LAKI,0,ORANG,2018
12,32,JAWA BARAT,3206,TASIKMALAYA,PEREMPUAN,10,ORANG,2018
13,32,JAWA BARAT,3207,CIAMIS,LAKI-LAKI,0,ORANG,2018
14,32,JAWA BARAT,3207,CIAMIS,PEREMPUAN,0,ORANG,2018
15,32,JAWA BARAT,3208,KUNINGAN,LAKI-LAKI,5,ORANG,2018
16,32,JAWA BARAT,3208,KUNINGAN,PEREMPUAN,12,ORANG,2018
17,32,JAWA BARAT,3209,CIREBON,LAKI-LAKI,2,ORANG,2018
18,32,JAWA BARAT,3209,CIREBON,PEREMPUAN,16,ORANG,2018
19,32,JAWA BARAT,3210,MAJALENGKA,LAKI-LAKI,0,ORANG,2018
20,32,JAWA BARAT,3210,MAJALENGKA,PEREMPUAN,1,ORANG,2018
21,32,JAWA BARAT,3211,SUMEDANG,LAKI-LAKI,0,ORANG,2018
22,32,JAWA BARAT,3211,SUMEDANG,PEREMPUAN,0,ORANG,2018
23,32,JAWA BARAT,3212,INDRAMAYU,LAKI-LAKI,0,ORANG,2018
24,32,JAWA BARAT,3212,INDRAMAYU,PEREMPUAN,0,ORANG,2018
25,32,JAWA BARAT,3213,SUBANG,LAKI-LAKI,4,ORANG,2018
26,32,JAWA BARAT,3213,SUBANG,PEREMPUAN,23,ORANG,2018
27,32,JAWA BARAT,3214,PURWAKARTA,LAKI-LAKI,0,ORANG,2018
28,32,JAWA BARAT,3214,PURWAKARTA,PEREMPUAN,0,ORANG,2018
29,32,JAWA BARAT,3215,KARAWANG,LAKI-LAKI,0,ORANG,2018
30,32,JAWA BARAT,3215,KARAWANG,PEREMPUAN,1,ORANG,2018
31,32,JAWA BARAT,3216,BEKASI,LAKI-LAKI,5,ORANG,2018
32,32,JAWA BARAT,3216,BEKASI,PEREMPUAN,4,ORANG,2018
33,32,JAWA BARAT,3217,BANDUNG BARAT,LAKI-LAKI,0,ORANG,2018
34,32,JAWA BARAT,3217,BANDUNG BARAT,PEREMPUAN,2,ORANG,2018
35,32,JAWA BARAT,3218,PANGANDARAN,LAKI-LAKI,0,ORANG,2018
36,32,JAWA BARAT,3218,PANGANDARAN,PEREMPUAN,2,ORANG,2018
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,0,ORANG,2018
